agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Adaptive,1,8.159377653914902,85.45153892934279,1,53,210.64570896591619,0.8321720650424836,0.8896878454494889,S0000_0
Risk_Taker,2,5.0,87.18414040133177,0,53,206.45956841624192,0.8698901680749525,0.9553264951715965,S0000_0
Conservative,3,5.0,87.77046014226397,0,53,205.080387761719,0.95,0.9721275080066691,S0000_0
Balanced,4,8.204923105813705,89.66170014336306,0,53,200.75461396805105,0.9,0.9851050433892073,S0000_0
Aggressive,5,5.0,90.63614619356778,0,53,198.5962638080194,0.85,0.7260211858802027,S0000_0
Defensive,6,5.0,92.96143872092803,0,53,193.62867278803995,0.9442485680242443,0.8263936209564147,S0000_0
Opportunist,7,8.411168361142842,93.34177825663674,0,53,192.83969446682542,0.9368505942987244,0.8892032892917282,S0000_0
Conservative,1,15.340371875482347,97.48346452226534,1,62,184.64669970658233,0.95,0.7569812887953472,S0001_0
Adaptive,2,5.0,99.18651321474066,0,62,181.47628560174974,0.8291173810765968,0.7530670280375965,S0001_0
Defensive,3,5.0,99.8831239679713,0,62,180.2106230254864,0.8994521401368469,0.7967269489831237,S0001_0
Balanced,4,5.0,98.7824212558258,0,62,182.2186556187337,0.9,0.7769183113368718,S0001_0
Risk_Taker,5,7.238865887966515,100.31305964864949,0,62,179.43825124112175,0.8163799211865462,0.8443363163763811,S0001_0
Aggressive,6,5.0,101.06400802529063,0,62,178.10494904868222,0.85,0.9553219178799686,S0001_0
Opportunist,7,7.372007155046255,104.06883983723743,0,62,172.962435520102,0.8923626509347687,0.9313254695029107,S0001_0
Risk_Taker,1,6.195113659988351,85.7425378562969,1,61,209.93080505930098,0.9312179101377587,0.7999026653291301,S0002_0
Defensive,2,11.504710925413619,87.54992458722175,0,61,205.5969789222088,0.9260244529755391,0.9478465193986106,S0002_0
Opportunist,3,5.0,88.62790932571396,0,61,203.09629480087028,0.8203413256848957,0.6267265449451717,S0002_0
Conservative,4,7.566241408491956,88.4488550088721,0,61,203.50743939188882,0.95,0.8170022185978015,S0002_0
Balanced,5,5.0,89.10450702655642,0,61,202.00998356497655,0.9,0.8897310056347925,S0002_0
Adaptive,6,10.421376556950205,89.95956373237307,0,61,200.08989876328707,0.8381925678055729,0.75869290305299,S0002_0
Aggressive,7,5.0,91.81967090135474,0,61,196.03642469311464,0.85,0.997891052715134,S0002_0
Conservative,1,8.58208210076268,88.57288093651268,1,70,203.22247407648453,0.95,0.6835043243055066,S0003_0
Defensive,2,9.299051322167577,88.99320072045533,0,70,202.26264314890128,0.9453120196802164,0.7410062087310997,S0003_0
Risk_Taker,3,5.0,88.22885851840573,0,70,204.0148801907593,0.8744071212314429,0.9591569329600553,S0003_0
Opportunist,4,5.0,89.08632879094355,0,70,202.05120408811666,0.8264395244564946,0.8040903434009905,S0003_0
Balanced,5,5.0,90.1445429377976,0,70,199.6793085125578,0.9,0.6134954219770604,S0003_0
Adaptive,6,5.0,90.79867222526907,0,70,198.24078435136676,0.8930659365152154,0.6089441400822355,S0003_0
Aggressive,7,5.0,92.43219665342012,0,70,194.73733884624687,0.85,0.6045532606176025,S0003_0
Balanced,1,5.0,98.29638502010874,1,60,183.1196538541849,0.9,0.8814692508636849,S0004_0
Conservative,2,5.0,97.30390483404956,0,60,184.98743735617546,0.95,0.7084423833457497,S0004_0
Risk_Taker,3,7.8877835969051,99.67189347845238,0,60,180.5925358876757,0.8856979647267501,0.9470175147680723,S0004_0
Adaptive,4,5.0,98.94828133725552,0,60,181.91321523462105,0.8876472273445444,0.8389030284585082,S0004_0
Aggressive,5,5.0,99.74310484494944,0,60,180.46360225081204,0.85,0.7957759996175943,S0004_0
Defensive,6,5.566695463000649,98.88537048292427,0,60,182.0289483883592,0.9327483907143612,0.7884986146872408,S0004_0
Opportunist,7,5.0,102.93374148213913,0,60,174.86977293177793,0.8982993408828722,0.9961609116503531,S0004_0
Defensive,1,5.0,85.18538086920124,1,70,211.30386242726652,0.9214289202155364,0.9206923057772984,S0005_0
Adaptive,2,12.644995654328968,86.04972740837815,0,70,209.18137154084056,0.9036924705608255,0.8788637177046902,S0005_0
Opportunist,3,5.0,87.85825899664792,0,70,204.87544603731288,0.8359165032258467,0.6704264085771579,S0005_0
Conservative,4,15.050313574046355,88.47073424276202,0,70,203.45711103299243,0.95,0.6876907982978141,S0005_0
Balanced,5,5.0,89.78710911603525,0,70,200.47421258142887,0.9,0.7179794916381937,S0005_0
Risk_Taker,6,5.0,92.42423034368437,0,70,194.75412381651492,0.8151979283631207,0.681174569256375,S0005_0
Aggressive,7,5.0,91.78973230476137,0,70,196.10036491049112,0.85,0.9277067216771653,S0005_0
Opportunist,1,5.0,87.19511661708079,1,54,206.43357906208652,0.879480822093279,0.795027427630682,S0006_0
Conservative,2,5.0,88.22804666812286,0,54,204.01675747972183,0.95,0.9872053985446034,S0006_0
Defensive,3,5.0,88.68826669590477,0,54,202.95807631147628,0.8529792303927448,0.7006015698456592,S0006_0
Risk_Taker,4,17.29337352307425,89.70360638088044,0,54,200.66082876949469,0.8632148710887029,0.8672280127095168,S0006_0
Balanced,5,5.0,90.60144531819373,0,54,198.67232732086902,0.9,0.9250835539093972,S0006_0
Aggressive,6,5.0,91.07870406021122,0,54,197.63127051193416,0.85,0.8696197364178525,S0006_0
Adaptive,7,10.872124332420599,93.04847421401415,0,54,193.44755679281195,0.8471131562318134,0.7260254978744669,S0006_0
Defensive,1,10.389946875354548,87.56830118687158,1,50,205.55383347665762,0.9391659336950017,0.6099954296615575,S0007_0
Risk_Taker,2,5.0,87.41105076188403,0,50,205.92361998980772,0.918084579446944,0.6554614548283245,S0007_0
Conservative,3,9.078720477636516,88.51271583848431,0,50,203.36061129166944,0.95,0.6196697200765446,S0007_0
Balanced,4,5.0,90.65906468673036,0,50,198.5460589318724,0.9,0.6438490593826035,S0007_0
Opportunist,5,8.810737689510884,91.35095255327721,0,50,197.04228031450614,0.8448687349191168,0.8056604365513502,S0007_0
Adaptive,6,11.051315808877394,90.80464779515444,0,50,198.22773874533462,0.8898597411559069,0.9905539568230126,S0007_0
Aggressive,7,5.0,91.51896991112461,0,50,196.68053538495963,0.85,0.6652960033865277,S0007_0
Defensive,1,5.0,94.46727474017932,1,52,190.54217504957984,0.8067774675102446,0.8197981764486876,S0008_0
Conservative,2,5.212123963533794,96.63625193251585,0,52,186.26550223170875,0.95,0.7576606731767553,S0008_0
Balanced,3,5.0,98.5689123845853,0,52,182.61335713809632,0.9,0.9102448121008756,S0008_0
Adaptive,4,5.0,101.25590087488169,0,52,177.76741744900337,0.9390365915389365,0.8827371760315716,S0008_0
Aggressive,5,5.0,101.9263076703377,0,52,176.59817579400365,0.85,0.9005518464265886,S0008_0
Risk_Taker,6,13.240267322645693,102.60882081789525,0,52,175.42351482574247,0.9113081285548745,0.8382680193467797,S0008_0
Opportunist,7,5.0,103.42258638278061,0,52,174.04322043716476,0.8978855181703347,0.8294579007557142,S0008_0
Opportunist,1,5.0,87.33140780766416,1,68,206.11141457426876,0.827048849041842,0.7639689895233711,S0009_0
Defensive,2,5.0,87.06078523998708,0,68,206.75209797823632,0.9325267065675297,0.9530273137397824,S0009_0
Conservative,3,5.0,87.89468122949407,0,68,204.7905487364108,0.95,0.9561126240702922,S0009_0
Aggressive,4,5.0,91.32871646792393,0,68,197.09025480853967,0.85,0.7972001039512043,S0009_0
Balanced,5,8.23990046438264,90.64556060064605,0,68,198.57563768954958,0.9,0.6424891366124601,S0009_0
Adaptive,6,9.055477123348203,93.44051972043883,0,68,192.63591484565285,0.8902217088734299,0.6503849331267675,S0009_0
Risk_Taker,7,7.495554132328548,93.4202977044022,0,68,192.67761334860094,0.905946819052335,0.6942370916191847,S0009_0
