agent,lap,battery_soc,lap_time,cumulative_time,final_position,won,scenario_id
Electric_Blitz,1,97.225,89.56,89.56,1,1,S0000_0
Energy_Saver,1,100.0,89.90184210526317,89.90184210526317,8,0,S0000_0
Balanced_Hybrid,1,98.9,89.7275,89.7275,4,0,S0000_0
Corner_Specialist,1,98.875,89.72,89.72,3,0,S0000_0
Straight_Dominator,1,99.225,89.7675,89.7675,6,0,S0000_0
Late_Charger,1,100.0,89.96249999999999,89.96249999999999,7,0,S0000_0
Overtake_Hunter,1,98.975,89.75000000000001,89.75000000000001,5,0,S0000_0
Adaptive_AI,1,98.795,89.7125,89.7125,2,0,S0000_0
Electric_Blitz,2,94.44999999999999,89.56,179.12,1,1,S0000_0
Energy_Saver,2,100.0,89.89868421052631,179.80052631578948,8,0,S0000_0
Balanced_Hybrid,2,97.80000000000001,89.7275,179.455,4,0,S0000_0
Corner_Specialist,2,97.75,89.72,179.44,3,0,S0000_0
Straight_Dominator,2,98.44999999999999,89.7675,179.535,6,0,S0000_0
Late_Charger,2,100.0,89.96249999999999,179.92499999999998,7,0,S0000_0
Overtake_Hunter,2,97.94999999999999,89.75000000000001,179.50000000000003,5,0,S0000_0
Adaptive_AI,2,97.59,89.7125,179.425,2,0,S0000_0
Electric_Blitz,3,91.67499999999998,89.56,268.68,1,1,S0000_0
Energy_Saver,3,100.0,89.89552631578948,269.69605263157894,8,0,S0000_0
Balanced_Hybrid,3,96.70000000000002,89.7275,269.1825,4,0,S0000_0
Corner_Specialist,3,96.625,89.72,269.15999999999997,3,0,S0000_0
Straight_Dominator,3,97.67499999999998,89.7675,269.3025,6,0,S0000_0
Late_Charger,3,100.0,89.96249999999999,269.8875,7,0,S0000_0
Overtake_Hunter,3,96.92499999999998,89.75000000000001,269.25000000000006,5,0,S0000_0
Adaptive_AI,3,96.385,89.7125,269.13750000000005,2,0,S0000_0
Electric_Blitz,4,88.89999999999998,89.56,358.24,1,1,S0000_0
Energy_Saver,4,100.0,89.89236842105264,359.5884210526316,8,0,S0000_0
Balanced_Hybrid,4,95.60000000000002,89.7275,358.91,4,0,S0000_0
Corner_Specialist,4,95.5,89.72,358.88,3,0,S0000_0
Straight_Dominator,4,96.89999999999998,89.7675,359.07,6,0,S0000_0
Late_Charger,4,100.0,89.96249999999999,359.84999999999997,7,0,S0000_0
Overtake_Hunter,4,95.89999999999998,89.75000000000001,359.00000000000006,5,0,S0000_0
Adaptive_AI,4,95.18,89.7125,358.85,2,0,S0000_0
Electric_Blitz,5,86.12499999999997,89.56,447.8,1,1,S0000_0
Energy_Saver,5,100.0,89.8892105263158,449.47763157894735,8,0,S0000_0
Balanced_Hybrid,5,94.50000000000003,89.7275,448.63750000000005,4,0,S0000_0
Corner_Specialist,5,94.375,89.72,448.6,3,0,S0000_0
Straight_Dominator,5,96.12499999999997,89.7675,448.8375,6,0,S0000_0
Late_Charger,5,100.0,89.96249999999999,449.81249999999994,7,0,S0000_0
Overtake_Hunter,5,94.87499999999997,89.75000000000001,448.75000000000006,5,0,S0000_0
Adaptive_AI,5,93.97500000000001,89.7125,448.5625,2,0,S0000_0
Electric_Blitz,6,83.34999999999997,89.56,537.36,1,1,S0000_0
Energy_Saver,6,100.0,89.88605263157895,539.3636842105263,8,0,S0000_0
Balanced_Hybrid,6,93.40000000000003,89.7275,538.365,4,0,S0000_0
Corner_Specialist,6,93.25,89.72,538.32,3,0,S0000_0
Straight_Dominator,6,95.34999999999997,89.7675,538.605,6,0,S0000_0
Late_Charger,6,100.0,89.96249999999999,539.775,7,0,S0000_0
Overtake_Hunter,6,93.84999999999997,89.75000000000001,538.5000000000001,5,0,S0000_0
Adaptive_AI,6,92.77000000000001,89.7125,538.275,2,0,S0000_0
Electric_Blitz,7,80.57499999999996,89.56,626.9200000000001,1,1,S0000_0
Energy_Saver,7,100.0,89.8828947368421,629.2465789473684,8,0,S0000_0
Balanced_Hybrid,7,92.30000000000004,89.7275,628.0925,4,0,S0000_0
Corner_Specialist,7,92.125,89.72,628.0400000000001,3,0,S0000_0
Straight_Dominator,7,94.57499999999996,89.7675,628.3725000000001,6,0,S0000_0
Late_Charger,7,100.0,89.96249999999999,629.7375,7,0,S0000_0
Overtake_Hunter,7,92.82499999999996,89.75000000000001,628.2500000000001,5,0,S0000_0
Adaptive_AI,7,91.56500000000001,89.7125,627.9875,2,0,S0000_0
Electric_Blitz,8,77.79999999999995,89.56,716.48,1,1,S0000_0
Energy_Saver,8,100.0,89.87973684210527,719.1263157894737,8,0,S0000_0
Balanced_Hybrid,8,91.20000000000005,89.7275,717.8199999999999,4,0,S0000_0
Corner_Specialist,8,91.0,89.72,717.7600000000001,3,0,S0000_0
Straight_Dominator,8,93.79999999999995,89.7675,718.1400000000001,6,0,S0000_0
Late_Charger,8,100.0,89.96249999999999,719.6999999999999,7,0,S0000_0
Overtake_Hunter,8,91.79999999999995,89.75000000000001,718.0000000000001,5,0,S0000_0
Adaptive_AI,8,90.36000000000001,89.7125,717.6999999999999,2,0,S0000_0
Electric_Blitz,9,75.02499999999995,89.56,806.04,1,1,S0000_0
Energy_Saver,9,100.0,89.87657894736842,809.0028947368421,8,0,S0000_0
Balanced_Hybrid,9,90.10000000000005,89.7275,807.5474999999999,4,0,S0000_0
Corner_Specialist,9,89.875,89.72,807.4800000000001,3,0,S0000_0
Straight_Dominator,9,93.02499999999995,89.7675,807.9075000000001,6,0,S0000_0
Late_Charger,9,100.0,89.96249999999999,809.6624999999999,7,0,S0000_0
Overtake_Hunter,9,90.77499999999995,89.75000000000001,807.7500000000001,5,0,S0000_0
Adaptive_AI,9,89.15500000000002,89.7125,807.4124999999999,2,0,S0000_0
Electric_Blitz,10,72.24999999999994,89.56,895.5999999999999,1,1,S0000_0
Energy_Saver,10,100.0,89.87342105263158,898.8763157894737,8,0,S0000_0
Balanced_Hybrid,10,89.00000000000006,89.7275,897.2749999999999,4,0,S0000_0
Corner_Specialist,10,88.75,89.72,897.2000000000002,3,0,S0000_0
Straight_Dominator,10,92.24999999999994,89.7675,897.6750000000002,6,0,S0000_0
Late_Charger,10,100.0,89.96249999999999,899.6249999999999,7,0,S0000_0
Overtake_Hunter,10,89.74999999999994,89.75000000000001,897.5000000000001,5,0,S0000_0
Adaptive_AI,10,87.95000000000002,89.7125,897.1249999999999,2,0,S0000_0
Electric_Blitz,11,69.47499999999994,89.56,985.1599999999999,1,1,S0000_0
Energy_Saver,11,100.0,89.87026315789474,988.7465789473684,8,0,S0000_0
Balanced_Hybrid,11,87.90000000000006,89.7275,987.0024999999998,4,0,S0000_0
Corner_Specialist,11,87.625,89.72,986.9200000000002,3,0,S0000_0
Straight_Dominator,11,91.47499999999994,89.7675,987.4425000000002,6,0,S0000_0
Late_Charger,11,100.0,89.96249999999999,989.5874999999999,7,0,S0000_0
Overtake_Hunter,11,88.72499999999994,89.75000000000001,987.2500000000001,5,0,S0000_0
Adaptive_AI,11,86.74500000000002,89.7125,986.8374999999999,2,0,S0000_0
Electric_Blitz,12,66.69999999999993,89.56,1074.7199999999998,1,1,S0000_0
Energy_Saver,12,100.0,89.86710526315791,1078.6136842105263,8,0,S0000_0
Balanced_Hybrid,12,86.80000000000007,89.7275,1076.7299999999998,4,0,S0000_0
Corner_Specialist,12,86.5,89.72,1076.64,3,0,S0000_0
Straight_Dominator,12,90.69999999999993,89.7675,1077.2100000000003,6,0,S0000_0
Late_Charger,12,100.0,89.96249999999999,1079.55,7,0,S0000_0
Overtake_Hunter,12,87.69999999999993,89.75000000000001,1077.0000000000002,5,0,S0000_0
Adaptive_AI,12,85.54000000000002,89.7125,1076.55,2,0,S0000_0
Electric_Blitz,13,63.92499999999993,89.56,1164.2799999999997,1,1,S0000_0
Energy_Saver,13,100.0,89.86394736842105,1168.4776315789475,8,0,S0000_0
Balanced_Hybrid,13,85.70000000000007,89.7275,1166.4574999999998,4,0,S0000_0
Corner_Specialist,13,85.375,89.72,1166.3600000000001,3,0,S0000_0
Straight_Dominator,13,89.92499999999993,89.7675,1166.9775000000002,6,0,S0000_0
Late_Charger,13,100.0,89.96249999999999,1169.5125,7,0,S0000_0
Overtake_Hunter,13,86.67499999999993,89.75000000000001,1166.7500000000002,5,0,S0000_0
Adaptive_AI,13,84.33500000000002,89.7125,1166.2625,2,0,S0000_0
Electric_Blitz,14,61.149999999999935,89.56,1253.8399999999997,1,1,S0000_0
Energy_Saver,14,100.0,89.86078947368422,1258.3384210526317,8,0,S0000_0
Balanced_Hybrid,14,84.60000000000008,89.7275,1256.1849999999997,4,0,S0000_0
Corner_Specialist,14,84.25,89.72,1256.0800000000002,3,0,S0000_0
Straight_Dominator,14,89.14999999999992,89.7675,1256.7450000000001,6,0,S0000_0
Late_Charger,14,100.0,89.96249999999999,1259.4750000000001,7,0,S0000_0
Overtake_Hunter,14,85.64999999999992,89.75000000000001,1256.5000000000002,5,0,S0000_0
Adaptive_AI,14,83.13000000000002,89.7125,1255.9750000000001,2,0,S0000_0
Electric_Blitz,15,58.374999999999936,89.56,1343.3999999999996,1,1,S0000_0
Energy_Saver,15,100.0,89.85763157894738,1348.196052631579,8,0,S0000_0
Balanced_Hybrid,15,83.50000000000009,89.7275,1345.9124999999997,4,0,S0000_0
Corner_Specialist,15,83.125,89.72,1345.8000000000002,3,0,S0000_0
Straight_Dominator,15,88.37499999999991,89.7675,1346.5125,6,0,S0000_0
Late_Charger,15,100.0,89.96249999999999,1349.4375000000002,7,0,S0000_0
Overtake_Hunter,15,84.62499999999991,89.75000000000001,1346.2500000000002,5,0,S0000_0
Adaptive_AI,15,81.92500000000003,89.7125,1345.6875000000002,2,0,S0000_0
Electric_Blitz,16,55.59999999999994,89.56,1432.9599999999996,1,1,S0000_0
Energy_Saver,16,99.99912280701754,89.85447368421052,1438.0505263157895,8,0,S0000_0
Balanced_Hybrid,16,82.40000000000009,89.7275,1435.6399999999996,4,0,S0000_0
Corner_Specialist,16,82.0,89.72,1435.5200000000002,3,0,S0000_0
Straight_Dominator,16,87.59999999999991,89.7675,1436.28,6,0,S0000_0
Late_Charger,16,100.0,89.96249999999999,1439.4000000000003,7,0,S0000_0
Overtake_Hunter,16,83.59999999999991,89.75000000000001,1436.0000000000002,5,0,S0000_0
Adaptive_AI,16,80.72000000000003,89.7125,1435.4000000000003,2,0,S0000_0
Electric_Blitz,17,52.82499999999994,89.56,1522.5199999999995,1,1,S0000_0
Energy_Saver,17,99.97631578947369,89.85131578947369,1527.9018421052633,8,0,S0000_0
Balanced_Hybrid,17,81.3000000000001,89.7275,1525.3674999999996,4,0,S0000_0
Corner_Specialist,17,80.875,89.72,1525.2400000000002,3,0,S0000_0
Straight_Dominator,17,86.8249999999999,89.7675,1526.0475,6,0,S0000_0
Late_Charger,17,100.0,89.96249999999999,1529.3625000000004,7,0,S0000_0
Overtake_Hunter,17,82.5749999999999,89.75000000000001,1525.7500000000002,5,0,S0000_0
Adaptive_AI,17,79.51500000000003,89.7125,1525.1125000000004,2,0,S0000_0
Electric_Blitz,18,50.04999999999994,89.56,1612.0799999999995,1,1,S0000_0
Energy_Saver,18,99.93157894736842,89.84815789473684,1617.7500000000002,8,0,S0000_0
Balanced_Hybrid,18,80.2000000000001,89.7275,1615.0949999999996,4,0,S0000_0
Corner_Specialist,18,79.75,89.72,1614.9600000000003,3,0,S0000_0
Straight_Dominator,18,86.0499999999999,89.7675,1615.8149999999998,6,0,S0000_0
Late_Charger,18,100.0,89.96249999999999,1619.3250000000005,7,0,S0000_0
Overtake_Hunter,18,81.5499999999999,89.75000000000001,1615.5000000000002,5,0,S0000_0
Adaptive_AI,18,78.31000000000003,89.7125,1614.8250000000005,2,0,S0000_0
Electric_Blitz,19,47.27499999999994,89.56,1701.6399999999994,1,1,S0000_0
Energy_Saver,19,99.86491228070176,89.84500000000001,1707.5950000000003,8,0,S0000_0
Balanced_Hybrid,19,79.10000000000011,89.7275,1704.8224999999995,4,0,S0000_0
Corner_Specialist,19,78.625,89.72,1704.6800000000003,3,0,S0000_0
Straight_Dominator,19,85.27499999999989,89.7675,1705.5824999999998,6,0,S0000_0
Late_Charger,19,100.0,89.96249999999999,1709.2875000000006,7,0,S0000_0
Overtake_Hunter,19,80.52499999999989,89.75000000000001,1705.2500000000002,5,0,S0000_0
Adaptive_AI,19,77.10500000000003,89.7125,1704.5375000000006,2,0,S0000_0
Electric_Blitz,20,44.49999999999994,89.56,1791.1999999999994,1,1,S0000_0
Energy_Saver,20,99.77631578947368,89.84184210526315,1797.4368421052634,8,0,S0000_0
Balanced_Hybrid,20,78.00000000000011,89.7275,1794.5499999999995,4,0,S0000_0
Corner_Specialist,20,77.5,89.72,1794.4000000000003,3,0,S0000_0
Straight_Dominator,20,84.49999999999989,89.7675,1795.3499999999997,6,0,S0000_0
Late_Charger,20,100.0,89.96249999999999,1799.2500000000007,7,0,S0000_0
Overtake_Hunter,20,79.49999999999989,89.75000000000001,1795.0000000000002,5,0,S0000_0
Adaptive_AI,20,75.90000000000003,89.7125,1794.2500000000007,2,0,S0000_0
Electric_Blitz,21,41.724999999999945,89.56,1880.7599999999993,1,1,S0000_0
Energy_Saver,21,99.66578947368421,89.83868421052632,1887.2755263157896,8,0,S0000_0
Balanced_Hybrid,21,76.90000000000012,89.7275,1884.2774999999995,4,0,S0000_0
Corner_Specialist,21,76.375,89.72,1884.1200000000003,3,0,S0000_0
Straight_Dominator,21,83.72499999999988,89.7675,1885.1174999999996,6,0,S0000_0
Late_Charger,21,100.0,89.96249999999999,1889.2125000000008,7,0,S0000_0
Overtake_Hunter,21,78.47499999999988,89.75000000000001,1884.7500000000002,5,0,S0000_0
Adaptive_AI,21,74.69500000000004,89.7125,1883.9625000000008,2,0,S0000_0
Electric_Blitz,22,38.949999999999946,89.56,1970.3199999999993,1,1,S0000_0
Energy_Saver,22,99.53333333333333,89.83552631578948,1977.1110526315792,8,0,S0000_0
Balanced_Hybrid,22,75.80000000000013,89.7275,1974.0049999999994,4,0,S0000_0
Corner_Specialist,22,75.25,89.72,1973.8400000000004,3,0,S0000_0
Straight_Dominator,22,82.94999999999987,89.7675,1974.8849999999995,6,0,S0000_0
Late_Charger,22,100.0,89.96249999999999,1979.1750000000009,7,0,S0000_0
Overtake_Hunter,22,77.44999999999987,89.75000000000001,1974.5000000000002,5,0,S0000_0
Adaptive_AI,22,73.49000000000004,89.7125,1973.6750000000009,2,0,S0000_0
Electric_Blitz,23,36.17499999999995,89.56,2059.879999999999,1,1,S0000_0
Energy_Saver,23,99.37894736842105,89.83236842105264,2066.943421052632,8,0,S0000_0
Balanced_Hybrid,23,74.70000000000013,89.7275,2063.7324999999996,4,0,S0000_0
Corner_Specialist,23,74.125,89.72,2063.5600000000004,3,0,S0000_0
Straight_Dominator,23,82.17499999999987,89.7675,2064.6524999999997,6,0,S0000_0
Late_Charger,23,100.0,89.96249999999999,2069.1375000000007,7,0,S0000_0
Overtake_Hunter,23,76.42499999999987,89.75000000000001,2064.2500000000005,5,0,S0000_0
Adaptive_AI,23,72.28500000000004,89.7125,2063.3875000000007,2,0,S0000_0
Electric_Blitz,24,33.39999999999995,89.56,2149.439999999999,1,1,S0000_0
Energy_Saver,24,99.20263157894736,89.82921052631579,2156.7726315789478,8,0,S0000_0
Balanced_Hybrid,24,73.60000000000014,89.7275,2153.4599999999996,4,0,S0000_0
Corner_Specialist,24,73.0,89.72,2153.28,3,0,S0000_0
Straight_Dominator,24,81.39999999999986,89.7675,2154.4199999999996,6,0,S0000_0
Late_Charger,24,100.0,89.96249999999999,2159.100000000001,7,0,S0000_0
Overtake_Hunter,24,75.39999999999986,89.75000000000001,2154.0000000000005,5,0,S0000_0
Adaptive_AI,24,71.08000000000004,89.7125,2153.100000000001,2,0,S0000_0
Electric_Blitz,25,30.62499999999995,89.56,2238.999999999999,1,1,S0000_0
Energy_Saver,25,99.00438596491227,89.82605263157895,2246.5986842105267,8,0,S0000_0
Balanced_Hybrid,25,72.50000000000014,89.7275,2243.1874999999995,4,0,S0000_0
Corner_Specialist,25,71.875,89.72,2243.0,3,0,S0000_0
Straight_Dominator,25,80.62499999999986,89.7675,2244.1874999999995,6,0,S0000_0
Late_Charger,25,100.0,89.96249999999999,2249.062500000001,7,0,S0000_0
Overtake_Hunter,25,74.37499999999986,89.75000000000001,2243.7500000000005,5,0,S0000_0
Adaptive_AI,25,69.87500000000004,89.7125,2242.812500000001,2,0,S0000_0
Electric_Blitz,26,27.84999999999995,89.56,2328.559999999999,1,1,S0000_0
Energy_Saver,26,98.78421052631579,89.82289473684212,2336.4215789473687,8,0,S0000_0
Balanced_Hybrid,26,71.40000000000015,89.7275,2332.9149999999995,4,0,S0000_0
Corner_Specialist,26,70.75,89.72,2332.72,3,0,S0000_0
Straight_Dominator,26,79.84999999999985,89.7675,2333.9549999999995,6,0,S0000_0
Late_Charger,26,100.0,89.96249999999999,2339.025000000001,7,0,S0000_0
Overtake_Hunter,26,73.34999999999985,89.75000000000001,2333.5000000000005,5,0,S0000_0
Adaptive_AI,26,68.67000000000004,89.7125,2332.525000000001,2,0,S0000_0
Electric_Blitz,27,25.074999999999953,89.56,2418.119999999999,1,1,S0000_0
Energy_Saver,27,98.5421052631579,89.81973684210526,2426.241315789474,8,0,S0000_0
Balanced_Hybrid,27,70.30000000000015,89.7275,2422.6424999999995,4,0,S0000_0
Corner_Specialist,27,69.625,89.72,2422.4399999999996,3,0,S0000_0
Straight_Dominator,27,79.07499999999985,89.7675,2423.7224999999994,6,0,S0000_0
Late_Charger,27,100.0,89.96249999999999,2428.987500000001,7,0,S0000_0
Overtake_Hunter,27,72.32499999999985,89.75000000000001,2423.2500000000005,5,0,S0000_0
Adaptive_AI,27,67.46500000000005,89.7125,2422.237500000001,2,0,S0000_0
Electric_Blitz,28,22.299999999999955,89.56,2507.679999999999,1,1,S0000_0
Energy_Saver,28,98.2780701754386,89.81657894736843,2516.057894736842,8,0,S0000_0
Balanced_Hybrid,28,69.20000000000016,89.7275,2512.3699999999994,4,0,S0000_0
Corner_Specialist,28,68.5,89.72,2512.1599999999994,3,0,S0000_0
Straight_Dominator,28,78.29999999999984,89.7675,2513.4899999999993,6,0,S0000_0
Late_Charger,28,100.0,89.96249999999999,2518.950000000001,7,0,S0000_0
Overtake_Hunter,28,71.29999999999984,89.75000000000001,2513.0000000000005,5,0,S0000_0
Adaptive_AI,28,66.26000000000005,89.7125,2511.950000000001,2,0,S0000_0
Electric_Blitz,29,19.524999999999956,89.56,2597.239999999999,1,1,S0000_0
Energy_Saver,29,97.9921052631579,89.81342105263158,2605.8713157894736,8,0,S0000_0
Balanced_Hybrid,29,68.10000000000016,89.7275,2602.0974999999994,4,0,S0000_0
Corner_Specialist,29,67.375,89.72,2601.879999999999,3,0,S0000_0
Straight_Dominator,29,77.52499999999984,89.7675,2603.2574999999993,6,0,S0000_0
Late_Charger,29,100.0,89.96249999999999,2608.9125000000013,7,0,S0000_0
Overtake_Hunter,29,70.27499999999984,89.75000000000001,2602.7500000000005,5,0,S0000_0
Adaptive_AI,29,65.05500000000005,89.7125,2601.6625000000013,2,0,S0000_0
Electric_Blitz,30,16.749999999999957,89.5695,2686.809499999999,1,1,S0000_0
Energy_Saver,30,97.6842105263158,89.81026315789475,2695.6815789473685,8,0,S0000_0
Balanced_Hybrid,30,67.00000000000017,89.7275,2691.8249999999994,4,0,S0000_0
Corner_Specialist,30,66.25,89.72,2691.599999999999,3,0,S0000_0
Straight_Dominator,30,76.74999999999983,89.7675,2693.024999999999,6,0,S0000_0
Late_Charger,30,97.15,89.55,2698.4625000000015,7,0,S0000_0
Overtake_Hunter,30,69.24999999999983,89.75000000000001,2692.5000000000005,5,0,S0000_0
Adaptive_AI,30,63.85000000000005,89.7125,2691.3750000000014,2,0,S0000_0
Electric_Blitz,31,13.974999999999957,89.625,2776.434499999999,1,1,S0000_0
Energy_Saver,31,97.35438596491228,89.8071052631579,2785.4886842105266,8,0,S0000_0
Balanced_Hybrid,31,65.90000000000018,89.7275,2781.5524999999993,4,0,S0000_0
Corner_Specialist,31,65.125,89.72,2781.319999999999,3,0,S0000_0
Straight_Dominator,31,75.97499999999982,89.7675,2782.792499999999,6,0,S0000_0
Late_Charger,31,94.30000000000001,89.55,2788.0125000000016,7,0,S0000_0
Overtake_Hunter,31,68.22499999999982,89.75000000000001,2782.2500000000005,5,0,S0000_0
Adaptive_AI,31,62.64500000000005,89.7125,2781.0875000000015,2,0,S0000_0
Electric_Blitz,32,11.199999999999957,89.68050000000001,2866.114999999999,1,1,S0000_0
Energy_Saver,32,97.00263157894737,89.80394736842106,2875.2926315789477,8,0,S0000_0
Balanced_Hybrid,32,64.80000000000018,89.7275,2871.2799999999993,4,0,S0000_0
Corner_Specialist,32,64.0,89.72,2871.0399999999986,3,0,S0000_0
Straight_Dominator,32,75.19999999999982,89.7675,2872.559999999999,6,0,S0000_0
Late_Charger,32,91.45000000000002,89.55,2877.562500000002,7,0,S0000_0
Overtake_Hunter,32,67.19999999999982,89.75000000000001,2872.0000000000005,5,0,S0000_0
Adaptive_AI,32,61.440000000000055,89.7125,2870.8000000000015,2,0,S0000_0
Electric_Blitz,33,8.424999999999956,89.736,2955.8509999999987,1,1,S0000_0
Energy_Saver,33,96.62894736842105,89.80078947368422,2965.093421052632,8,0,S0000_0
Balanced_Hybrid,33,63.70000000000018,89.7275,2961.0074999999993,4,0,S0000_0
Corner_Specialist,33,62.875,89.72,2960.7599999999984,3,0,S0000_0
Straight_Dominator,33,74.42499999999981,89.7675,2962.327499999999,6,0,S0000_0
Late_Charger,33,88.60000000000002,89.55,2967.112500000002,7,0,S0000_0
Overtake_Hunter,33,66.17499999999981,89.75000000000001,2961.7500000000005,5,0,S0000_0
Adaptive_AI,33,60.235000000000056,89.7125,2960.5125000000016,2,0,S0000_0
Electric_Blitz,34,5.649999999999956,89.7915,3045.6424999999986,1,1,S0000_0
Energy_Saver,34,96.23333333333333,89.79763157894736,3054.8910526315794,8,0,S0000_0
Balanced_Hybrid,34,62.60000000000018,89.7275,3050.734999999999,4,0,S0000_0
Corner_Specialist,34,61.75,89.72,3050.479999999998,3,0,S0000_0
Straight_Dominator,34,73.6499999999998,89.7675,3052.094999999999,6,0,S0000_0
Late_Charger,34,85.75000000000003,89.55,3056.662500000002,7,0,S0000_0
Overtake_Hunter,34,65.1499999999998,89.75000000000001,3051.5000000000005,5,0,S0000_0
Adaptive_AI,34,59.03000000000006,89.7125,3050.2250000000017,2,0,S0000_0
Electric_Blitz,35,2.874999999999956,89.84700000000001,3135.4894999999988,1,1,S0000_0
Energy_Saver,35,95.8157894736842,89.79447368421053,3144.68552631579,8,0,S0000_0
Balanced_Hybrid,35,61.50000000000018,89.7275,3140.462499999999,4,0,S0000_0
Corner_Specialist,35,60.625,89.72,3140.199999999998,3,0,S0000_0
Straight_Dominator,35,72.8749999999998,89.7675,3141.862499999999,6,0,S0000_0
Late_Charger,35,82.90000000000003,89.55,3146.2125000000024,7,0,S0000_0
Overtake_Hunter,35,64.1249999999998,89.75000000000001,3141.2500000000005,5,0,S0000_0
Adaptive_AI,35,57.82500000000006,89.7125,3139.937500000002,2,0,S0000_0
Electric_Blitz,36,0.09999999999995612,89.9025,3225.391999999999,1,1,S0000_0
Energy_Saver,36,95.37631578947368,89.79131578947369,3234.4768421052636,8,0,S0000_0
Balanced_Hybrid,36,60.400000000000176,89.7275,3230.189999999999,4,0,S0000_0
Corner_Specialist,36,59.5,89.72,3229.919999999998,3,0,S0000_0
Straight_Dominator,36,72.0999999999998,89.7675,3231.6299999999987,6,0,S0000_0
Late_Charger,36,80.05000000000004,89.55,3235.7625000000025,7,0,S0000_0
Overtake_Hunter,36,63.0999999999998,89.75000000000001,3231.0000000000005,5,0,S0000_0
Adaptive_AI,36,56.62000000000006,89.7125,3229.650000000002,2,0,S0000_0
Electric_Blitz,37,0.0,89.958,3315.349999999999,1,1,S0000_0
Energy_Saver,37,94.91491228070174,89.78815789473686,3324.2650000000003,8,0,S0000_0
Balanced_Hybrid,37,59.300000000000175,89.7275,3319.917499999999,4,0,S0000_0
Corner_Specialist,37,58.375,89.72,3319.6399999999976,3,0,S0000_0
Straight_Dominator,37,71.32499999999979,89.7675,3321.3974999999987,6,0,S0000_0
Late_Charger,37,77.20000000000005,89.55,3325.3125000000027,7,0,S0000_0
Overtake_Hunter,37,62.074999999999804,89.75000000000001,3320.7500000000005,5,0,S0000_0
Adaptive_AI,37,55.41500000000006,89.7125,3319.362500000002,2,0,S0000_0
Electric_Blitz,38,0.0,89.96000000000001,3405.309999999999,1,1,S0000_0
Energy_Saver,38,94.43157894736841,89.785,3414.05,8,0,S0000_0
Balanced_Hybrid,38,58.20000000000017,89.7275,3409.644999999999,4,0,S0000_0
Corner_Specialist,38,57.25,89.72,3409.3599999999974,3,0,S0000_0
Straight_Dominator,38,70.54999999999978,89.7675,3411.1649999999986,6,0,S0000_0
Late_Charger,38,74.35000000000005,89.55,3414.862500000003,7,0,S0000_0
Overtake_Hunter,38,61.049999999999805,89.75000000000001,3410.5000000000005,5,0,S0000_0
Adaptive_AI,38,54.210000000000065,89.7125,3409.075000000002,2,0,S0000_0
Electric_Blitz,39,0.0,89.96000000000001,3495.269999999999,1,1,S0000_0
Energy_Saver,39,93.92631578947368,89.78184210526317,3503.831842105263,8,0,S0000_0
Balanced_Hybrid,39,57.10000000000017,89.7275,3499.372499999999,4,0,S0000_0
Corner_Specialist,39,56.125,89.72,3499.079999999997,3,0,S0000_0
Straight_Dominator,39,69.77499999999978,89.7675,3500.9324999999985,6,0,S0000_0
Late_Charger,39,71.50000000000006,89.55,3504.412500000003,7,0,S0000_0
Overtake_Hunter,39,60.02499999999981,89.75000000000001,3500.2500000000005,5,0,S0000_0
Adaptive_AI,39,53.00500000000007,89.7125,3498.787500000002,2,0,S0000_0
Electric_Blitz,40,0.0,89.96000000000001,3585.229999999999,1,1,S0000_0
Energy_Saver,40,93.39912280701753,89.77868421052632,3593.6105263157897,8,0,S0000_0
Balanced_Hybrid,40,56.00000000000017,89.7275,3589.099999999999,4,0,S0000_0
